purpose,isjointapplication,loanamount,interestrate,monthlypayment,grade,residentialstate,homeownership,annualincome,incomeverified,dtiratio,lengthcredithistory,numtotalcreditlines,numopencreditlines,numopencreditlines1year,revolvingbalance,revolvingutilizationrate,numderogatoryrec,numdelinquency2years,numchargeoff1year,numinquiries6mon,loan_year,loan_month,loan_dayofweek,term_months,default_flag
debtconsolidation,0.0,24440.0,22.1,771,E1,MT,mortgage,48168,1,16.31,2,14,13.0,12,16231,90.07,0,0,0,0,2016,4,5,48.0,1
debtconsolidation,0.0,20612.0,7.63,642,A3,MO,rent,56018,1,15.98,10,15,11.0,10,14474,61.28,3,0,0,0,2015,2,6,36.0,0
debtconsolidation,0.0,22178.0,11.69,581,B1,ME,own,54120,1,28.98,3,16,13.0,7,13836,81.82,0,0,0,0,2015,11,0,48.0,0
debtconsolidation,0.0,19718.0,12.7,446,B3,WI,rent,53562,0,21.1,4,23,17.0,12,10974,56.62,0,0,0,0,2016,6,2,60.0,0
debtconsolidation,0.0,23998.0,10.42,515,B1,DC,mortgage,52081,0,15.92,34,16,16.0,6,20109,46.47,2,0,0,0,2014,10,4,60.0,0
debtconsolidation,1.0,25403.0,12.34,673,C1,WA,rent,57617,0,20.78,6,14,11.0,7,15839,86.11,0,1,1,1,2014,11,0,48.0,0
debtconsolidation,0.0,26318.0,14.39,618,B3,WV,own,54988,1,26.96,3,2,2.0,1,16803,55.42,14,0,0,0,2014,5,6,60.0,0
debtconsolidation,0.0,21814.0,9.61,700,C2,DC,rent,60331,1,17.95,5,18,14.0,9,13907,74.04,0,0,0,0,2015,5,6,36.0,0
debtconsolidation,0.0,23249.0,11.2,603,A2,DE,own,54269,1,28.28,34,14,12.0,9,13737,90.71,0,0,0,1,2016,3,1,48.0,0
debtconsolidation,0.0,11197.0,16.54,320,B3,IL,own,55491,1,20.06,3,18,13.0,6,15080,78.75,0,0,0,0,2014,12,2,48.0,0
other,0.0,18733.0,14.08,437,B1,AZ,own,53323,1,9.76,29,17,16.0,12,14639,91.6,0,0,0,0,2015,6,2,60.0,0
debtconsolidation,0.0,23279.0,6.72,716,A1,NY,own,46284,1,17.25,5,16,13.0,9,11889,81.82,0,0,0,0,2014,8,2,36.0,0
debtconsolidation,0.0,20059.0,6.36,474,C3,CA,rent,57149,0,13.43,10,21,18.0,15,10106,88.68,0,0,0,0,2014,7,2,48.0,0
debtconsolidation,0.0,19833.0,15.5,692,A1,IL,mortgage,52261,1,19.55,16,11,9.0,5,17328,56.92,0,0,0,0,2014,8,6,36.0,0
debtconsolidation,0.0,19074.0,10.78,491,C1,FL,own,50300,1,13.92,3,15,13.0,12,16794,55.08,0,0,0,0,2015,5,6,48.0,0
debtconsolidation,0.0,14506.0,5.16,275,A1,KY,rent,60245,1,16.75,19,13,11.0,5,11123,76.78,0,2,2,0,2014,7,6,60.0,0
debtconsolidation,0.0,23604.0,11.17,612,D2,SC,rent,53693,0,22.75,10,22,21.0,13,14132,71.04,8,0,0,0,2014,11,5,48.0,0
debtconsolidation,0.0,20212.0,7.91,633,C2,WI,mortgage,57141,1,24.53,4,17,10.0,8,18933,66.22,0,0,0,9,2016,4,4,36.0,0
debtconsolidation,0.0,26894.0,14.17,628,A2,TN,mortgage,55089,1,22.62,32,13,7.0,3,15398,46.15,0,0,0,13,2015,4,6,60.0,0
debtconsolidation,0.0,18903.0,14.69,447,A1,PA,own,53034,1,18.58,1,18,10.0,4,14473,70.1,5,1,1,0,2014,12,4,60.0,0
debtconsolidation,0.0,15442.0,16.63,443,D1,IN,mortgage,52554,0,26.0,2,14,10.0,9,16534,72.59,0,0,0,2,2015,7,0,48.0,1
debtconsolidation,0.0,30210.0,6.69,719,C3,CA,rent,53884,1,20.87,2,21,14.0,7,11920,78.11,0,1,1,0,2015,6,6,48.0,0
debtconsolidation,0.0,20991.0,13.13,479,C1,NY,own,51847,1,11.0,1,23,18.0,13,13134,52.55,1,1,1,0,2015,10,5,60.0,0
debtconsolidation,0.0,19797.0,7.16,613,E3,PA,own,57777,1,20.63,5,15,13.0,8,9976,71.8,0,0,0,0,2015,6,5,36.0,1
debtconsolidation,0.0,15460.0,11.88,406,A3,KS,rent,59550,0,11.63,3,11,6.0,3,18256,63.73,0,1,1,0,2014,7,0,48.0,0
homeimprovement,0.0,27888.0,7.58,560,D1,FL,rent,48979,1,17.55,14,10,5.0,3,17245,70.69,0,0,0,0,2014,11,2,60.0,0
debtconsolidation,0.0,21657.0,11.95,719,B3,IA,own,55243,0,20.43,15,22,21.0,17,13907,77.65,0,0,0,0,2015,11,2,36.0,0
debtconsolidation,0.0,20634.0,5.29,621,E3,FL,rent,57925,1,22.65,32,15,14.0,13,15067,66.38,1,0,0,2,2016,6,3,36.0,0
homeimprovement,0.0,13029.0,16.23,318,A1,ID,rent,56348,1,11.29,23,16,16.0,10,16589,63.13,13,0,0,0,2015,7,5,60.0,0
debtconsolidation,0.0,19180.0,16.16,468,E3,FL,own,54897,1,17.02,4,21,14.0,11,13669,77.65,0,0,0,1,2016,4,2,60.0,0
debtconsolidation,0.0,19755.0,7.87,618,D1,IA,mortgage,56772,1,13.84,4,11,6.0,3,18392,80.96,0,0,0,0,2015,2,2,36.0,0
debtconsolidation,0.0,18695.0,8.71,385,B2,MS,own,54809,1,13.0,15,14,11.0,8,12803,44.61,0,18,17,0,2016,5,4,60.0,0
debtconsolidation,0.0,19071.0,13.43,647,B3,FL,rent,57567,1,11.33,6,12,7.0,5,19573,48.47,0,0,0,0,2014,9,2,36.0,0
debtconsolidation,1.0,18383.0,10.57,598,A1,CA,rent,57277,1,17.89,4,19,10.0,7,17864,59.94,1,0,0,3,2016,4,2,36.0,0
debtconsolidation,0.0,17036.0,6.65,523,A1,DC,own,57110,0,11.4,4,21,20.0,18,15794,72.04,0,0,0,18,2015,5,2,48.0,0
auto,0.0,15326.0,12.89,516,A1,MO,own,58127,0,10.25,4,16,12.0,8,17729,65.94,0,0,0,1,2014,12,0,36.0,0
debtconsolidation,0.0,22289.0,10.6,572,E1,NJ,mortgage,53816,1,17.72,5,14,11.0,9,18256,76.93,0,10,9,1,2014,10,3,48.0,0
debtconsolidation,0.0,18132.0,8.09,368,B2,AL,own,50366,1,13.83,9,16,16.0,6,14312,65.17,0,2,2,2,2016,2,5,60.0,0
debtconsolidation,0.0,16195.0,5.32,375,B2,ME,own,54880,1,12.1,4,14,13.0,13,15924,38.94,0,0,0,0,2014,7,6,48.0,0
debtconsolidation,0.0,17831.0,15.49,501,E3,MS,mortgage,53713,1,23.42,7,16,16.0,12,13760,88.99,0,0,0,1,2014,9,0,48.0,0
debtconsolidation,0.0,20600.0,8.67,207,C2,IL,rent,54870,1,16.89,10,14,9.0,6,16641,84.95,0,3,2,0,2015,9,1,48.0,0
healthcare,0.0,14514.0,10.35,471,B3,IN,mortgage,52220,0,24.67,10,21,11.0,9,14905,57.51,0,0,0,0,2014,10,0,36.0,0
debtconsolidation,0.0,21233.0,14.13,727,C1,KY,own,57997,1,19.35,7,17,12.0,5,17290,70.46,0,0,0,0,2014,12,4,36.0,0
debtconsolidation,0.0,24098.0,8.32,492,A3,SC,own,55709,1,16.02,2,22,17.0,13,16846,57.92,0,2,2,0,2015,11,0,60.0,0
debtconsolidation,0.0,24910.0,7.51,499,A1,DC,mortgage,54156,1,19.51,6,21,12.0,11,17026,62.98,0,0,0,19,2015,12,4,60.0,0
debtconsolidation,0.0,15807.0,15.32,379,A3,AR,own,58699,1,17.98,1,5,4.0,2,14534,44.67,0,0,0,0,2016,3,6,60.0,0
debtconsolidation,0.0,31010.0,11.23,1019,B1,CA,own,55323,1,23.01,4,16,10.0,8,10969,71.13,0,0,0,0,2015,6,4,36.0,0
debtconsolidation,0.0,22613.0,7.71,549,B2,WA,own,53690,1,10.89,4,14,12.0,11,17049,55.59,0,0,0,0,2015,9,0,48.0,0
debtconsolidation,0.0,23382.0,5.5,447,A3,NY,own,56529,1,13.66,18,15,13.0,4,17188,42.14,0,0,0,0,2015,12,4,60.0,0
debtconsolidation,0.0,22451.0,12.19,748,A1,CA,mortgage,54956,0,11.61,36,12,10.0,8,13817,58.47,0,0,0,0,2014,6,6,36.0,0
debtconsolidation,0.0,20002.0,12.97,674,C2,MT,own,55373,1,25.14,5,12,7.0,3,9557,44.69,9,0,0,1,2016,3,4,36.0,0
debtconsolidation,0.0,18237.0,4.33,414,C2,DC,rent,54141,0,25.54,3,22,21.0,8,12198,62.42,0,0,0,0,2014,10,6,48.0,0
debtconsolidation,0.0,19251.0,13.78,524,D3,IL,rent,50604,1,22.61,2,18,13.0,9,12476,42.49,0,0,0,13,2015,8,3,48.0,1
debtconsolidation,0.0,18426.0,13.39,498,E1,SD,mortgage,50176,1,18.52,8,12,11.0,7,15487,92.03,0,0,0,3,2015,9,6,48.0,1
homeimprovement,0.0,25668.0,15.23,893,D3,NY,mortgage,51906,1,18.26,16,12,12.0,9,8756,73.14,0,0,0,1,2015,11,5,36.0,1
debtconsolidation,0.0,24154.0,9.24,604,D3,WA,mortgage,56004,1,23.42,36,19,10.0,7,15765,71.52,0,0,0,0,2015,1,4,48.0,0
debtconsolidation,0.0,20662.0,9.2,516,D1,AZ,mortgage,52674,1,22.13,6,19,17.0,14,18474,86.23,0,0,0,0,2015,6,6,48.0,0
debtconsolidation,0.0,11082.0,13.68,377,A2,MT,rent,57714,1,12.62,7,17,12.0,5,15396,71.13,0,0,0,0,2015,9,1,36.0,0
debtconsolidation,0.0,17554.0,14.95,488,E1,DC,rent,48821,1,19.13,24,19,12.0,9,12859,79.15,0,0,0,8,2015,11,0,48.0,1
debtconsolidation,0.0,32514.0,9.73,820,D3,CA,mortgage,56672,0,20.03,7,15,9.0,6,12963,61.7,0,0,0,3,2015,4,1,48.0,0
debtconsolidation,0.0,11485.0,8.56,236,D1,DC,own,56357,0,16.55,13,8,6.0,6,12979,47.09,1,0,0,8,2015,7,0,60.0,0
debtconsolidation,0.0,12526.0,5.13,376,B1,DC,mortgage,55093,1,22.5,25,20,19.0,18,14056,62.51,0,0,0,3,2016,6,5,36.0,0
debtconsolidation,1.0,17085.0,8.14,418,C2,WY,own,54509,1,20.89,2,17,12.0,5,16696,63.7,0,0,0,0,2016,5,0,48.0,0
debtconsolidation,0.0,17364.0,7.16,537,A1,IN,rent,55015,0,17.4,2,21,21.0,19,14403,81.26,0,0,0,1,2014,7,2,36.0,0
debtconsolidation,0.0,22718.0,9.03,723,B2,IL,own,56495,1,24.71,4,16,13.0,8,14192,29.25,2,0,0,1,2014,8,6,36.0,0
homeimprovement,0.0,21888.0,18.95,567,A2,NV,own,52697,1,20.7,1,13,12.0,7,14448,63.94,0,1,1,0,2014,10,0,60.0,1
other,0.0,17932.0,8.12,365,C1,ND,rent,58794,0,5.34,1,20,18.0,18,15177,72.63,0,0,0,0,2014,10,6,60.0,0
debtconsolidation,0.0,22354.0,11.55,738,D2,PA,own,55813,1,18.69,5,14,10.0,5,16283,68.84,0,0,0,1,2015,8,3,36.0,0
debtconsolidation,0.0,18194.0,11.88,603,A3,OK,mortgage,54653,1,13.77,8,13,7.0,5,12588,56.38,1,0,0,0,2015,3,4,36.0,0
debtconsolidation,0.0,17645.0,10.47,573,A1,IN,mortgage,55098,1,18.81,8,19,12.0,4,15901,74.76,0,20,13,17,2015,7,5,36.0,0
debtconsolidation,0.0,24183.0,8.71,598,A1,DE,mortgage,58921,1,8.86,4,16,16.0,15,17702,75.61,7,0,0,0,2014,12,1,48.0,0
debtconsolidation,0.0,24059.0,10.93,787,B2,IN,rent,51782,0,29.19,37,24,24.0,13,16429,64.33,0,1,1,1,2015,3,2,36.0,0
debtconsolidation,0.0,18401.0,10.52,396,A3,AR,rent,59060,1,13.43,4,8,4.0,2,16108,69.98,0,1,1,1,2015,11,0,60.0,0
debtconsolidation,0.0,16913.0,13.56,574,B1,NH,mortgage,52902,0,15.28,14,23,23.0,9,14531,63.62,0,2,1,0,2016,5,6,36.0,0
debtconsolidation,0.0,29854.0,11.26,653,C3,KS,own,55673,0,20.09,3,15,12.0,6,10152,56.91,0,1,1,1,2015,9,6,60.0,0
debtconsolidation,0.0,13100.0,11.35,287,C1,IA,mortgage,49469,0,19.84,11,9,8.0,6,13244,55.43,0,0,0,1,2014,11,0,60.0,0
debtconsolidation,0.0,26439.0,8.55,543,C3,ID,own,53291,0,18.78,8,21,15.0,9,16199,77.83,0,0,0,0,2015,4,3,60.0,0
debtconsolidation,0.0,16234.0,7.66,394,B2,MD,rent,53641,1,22.05,4,15,13.0,5,15828,56.76,0,0,0,1,2016,6,1,48.0,0
debtconsolidation,0.0,15645.0,10.43,400,B1,TX,rent,54874,1,18.6,17,5,5.0,4,15132,77.59,0,0,0,0,2015,10,2,48.0,0
debtconsolidation,0.0,16078.0,10.02,519,B1,IN,own,52719,1,19.93,5,11,10.0,5,17406,42.62,0,0,0,1,2015,6,4,36.0,0
debtconsolidation,0.0,20222.0,10.73,659,A3,IA,own,57872,0,11.87,10,16,12.0,5,13467,69.17,0,0,0,1,2014,9,0,36.0,0
homeimprovement,0.0,18981.0,18.99,492,E1,MN,own,53612,0,17.95,4,9,5.0,3,14866,69.31,1,0,0,1,2016,6,5,60.0,0
debtconsolidation,0.0,27988.0,7.51,677,E3,NE,own,56561,1,13.86,7,17,15.0,11,17992,56.98,0,0,0,0,2014,10,4,48.0,0
debtconsolidation,0.0,20647.0,10.8,447,A2,NY,own,50432,0,11.63,3,19,13.0,12,16815,100.0,1,0,0,0,2015,9,0,60.0,0
debtconsolidation,0.0,23677.0,18.77,865,B1,MO,own,60608,1,13.86,10,17,12.0,12,14254,67.18,0,0,0,1,2014,10,1,36.0,0
debtconsolidation,0.0,26971.0,8.94,670,A3,MO,mortgage,55502,0,17.25,27,13,13.0,8,14919,54.81,0,1,1,2,2015,10,5,48.0,0
homeimprovement,0.0,17281.0,11.31,378,C1,CA,own,54815,1,21.17,10,14,10.0,4,16857,78.91,0,0,0,9,2015,3,5,60.0,0
homeimprovement,0.0,22522.0,22.26,713,E2,DC,rent,50892,1,18.15,6,14,12.0,9,15836,66.95,0,1,1,0,2015,7,1,48.0,1
debtconsolidation,0.0,21396.0,9.71,452,B3,CA,mortgage,53045,1,17.99,5,15,11.0,8,13116,66.63,0,0,0,1,2015,2,2,60.0,0
debtconsolidation,0.0,21159.0,8.35,433,A1,TN,own,57900,1,10.34,2,14,9.0,7,20549,100.0,0,0,0,1,2016,1,5,60.0,0
debtconsolidation,0.0,24129.0,9.41,506,E3,ID,own,60032,1,18.59,6,17,9.0,6,19484,75.7,0,0,0,1,2016,4,3,60.0,0
debtconsolidation,0.0,26440.0,7.2,526,A3,IA,own,56265,1,14.68,2,18,9.0,5,14499,70.15,0,0,0,4,2014,12,3,60.0,0
debtconsolidation,1.0,25268.0,15.77,611,A2,IN,rent,60749,1,19.14,5,12,9.0,6,18629,68.89,0,0,0,0,2015,3,2,60.0,0
debtconsolidation,0.0,18147.0,4.87,543,C3,FL,own,58665,1,16.74,5,18,10.0,7,15643,43.24,0,0,0,0,2014,8,0,36.0,0
homeimprovement,0.0,20395.0,8.13,640,D2,MN,mortgage,57287,1,11.93,4,20,19.0,18,14116,72.22,1,0,0,1,2015,12,2,36.0,0
debtconsolidation,0.0,23933.0,12.24,798,C1,SC,rent,54775,0,19.85,11,13,7.0,4,11829,83.76,2,0,0,1,2014,12,0,36.0,0
debtconsolidation,0.0,21854.0,9.97,464,A2,AZ,rent,52961,1,5.4,6,9,6.0,4,13696,70.21,0,2,2,1,2014,6,6,60.0,0
business,0.0,18641.0,7.13,370,D2,TX,mortgage,58582,1,9.01,6,15,9.0,4,17283,75.76,0,0,0,0,2014,8,3,60.0,0
debtconsolidation,0.0,11736.0,15.62,283,A1,CT,rent,56993,1,12.69,36,16,11.0,4,14311,54.53,14,0,0,1,2014,7,2,60.0,0
business,0.0,22482.0,12.93,757,B3,WI,mortgage,57248,1,16.32,2,18,15.0,7,15907,41.56,0,0,0,2,2015,8,5,36.0,0
debtconsolidation,0.0,20477.0,16.69,505,B3,DC,mortgage,54899,1,16.17,4,20,15.0,6,14538,75.03,0,0,0,1,2014,7,3,60.0,0
business,0.0,17645.0,7.61,428,A2,MT,own,56511,1,12.92,4,8,8.0,8,15024,62.43,0,0,0,0,2014,9,2,48.0,0
debtconsolidation,0.0,19590.0,10.58,422,B2,FL,own,58423,1,18.37,2,11,6.0,4,15006,72.7,0,0,0,1,2014,7,5,60.0,0
debtconsolidation,0.0,28719.0,8.3,705,D2,WI,rent,56677,1,12.52,1,17,11.0,6,17942,46.89,0,0,0,0,2016,6,3,48.0,0
business,0.0,11371.0,16.64,280,B3,SC,rent,56374,0,26.87,1,12,10.0,4,14841,69.13,0,0,0,1,2014,11,6,60.0,0
other,0.0,19425.0,11.17,424,B2,ME,rent,54298,1,10.39,9,10,9.0,8,15356,43.1,0,7,6,0,2016,4,1,60.0,0
debtconsolidation,0.0,20139.0,21.14,760,E1,NE,rent,49045,1,25.98,5,18,13.0,12,12535,59.16,0,1,1,0,2015,1,3,36.0,1
debtconsolidation,0.0,22044.0,15.8,622,B1,NY,mortgage,48923,1,19.08,10,9,6.0,2,11055,66.38,0,0,0,1,2015,1,1,48.0,0
debtconsolidation,0.0,22108.0,10.78,478,B2,WY,mortgage,52581,1,16.54,5,18,16.0,8,17296,63.33,0,0,0,0,2015,12,6,60.0,0
debtconsolidation,0.0,23214.0,6.35,710,B3,NY,mortgage,51119,1,20.78,2,7,6.0,2,16898,85.71,0,0,0,1,2015,3,1,36.0,0
debtconsolidation,0.0,15884.0,9.64,510,B3,NH,mortgage,53697,0,17.31,8,12,7.0,3,14083,60.79,0,0,0,1,2015,6,0,36.0,0
debtconsolidation,0.0,26081.0,11.7,576,B3,MI,rent,59081,0,19.01,5,22,14.0,8,14630,69.95,1,15,12,0,2014,5,3,60.0,0
debtconsolidation,0.0,23109.0,10.8,500,A3,FL,own,53703,0,15.39,2,12,8.0,8,18707,70.53,0,0,0,16,2016,6,4,60.0,0
debtconsolidation,0.0,24705.0,8.91,614,C1,DC,rent,57671,0,20.85,2,9,9.0,8,12703,62.44,2,0,0,0,2015,10,1,48.0,0
debtconsolidation,0.0,20770.0,12.4,694,C1,TN,own,52981,1,16.57,3,12,8.0,7,11916,62.49,0,0,0,1,2016,5,4,36.0,0
debtconsolidation,0.0,22354.0,10.63,574,E2,AR,rent,55703,1,25.72,5,10,11.0,4,14387,72.98,0,0,0,3,2014,12,1,48.0,1
other,0.0,23153.0,8.87,735,B1,MS,mortgage,56135,1,10.68,3,17,16.0,11,13211,81.72,0,0,0,15,2014,8,4,36.0,0
homeimprovement,0.0,19929.0,11.45,519,B1,CA,mortgage,51904,0,23.21,8,11,8.0,6,16230,62.99,0,0,0,0,2015,10,4,48.0,0
debtconsolidation,0.0,21191.0,19.27,637,A3,SD,rent,58073,1,14.84,9,19,18.0,11,15326,46.99,0,1,1,0,2014,6,2,48.0,0
debtconsolidation,0.0,16015.0,9.23,400,D2,IN,own,55948,0,17.34,6,18,15.0,13,15542,63.33,0,0,0,0,2015,11,6,48.0,0
debtconsolidation,0.0,20312.0,23.29,789,E2,KS,mortgage,49534,1,23.26,7,11,9.0,8,13729,77.12,1,0,0,16,2015,5,4,36.0,1
debtconsolidation,0.0,22173.0,6.24,431,B3,AZ,mortgage,52106,0,16.68,28,19,16.0,7,14397,72.61,0,0,0,0,2014,6,1,60.0,0
debtconsolidation,0.0,19669.0,9.41,629,B2,ND,rent,55053,1,20.38,12,22,17.0,7,10560,70.28,0,0,0,0,2015,6,4,36.0,0
business,0.0,22339.0,12.06,498,A1,ME,mortgage,58743,0,21.4,6,17,10.0,5,13168,55.9,1,0,0,13,2014,6,0,60.0,0
debtconsolidation,0.0,14996.0,13.87,348,C1,CT,rent,55208,1,20.31,14,14,8.0,4,16247,66.61,0,0,0,0,2016,6,3,60.0,0
debtconsolidation,0.0,30365.0,10.14,982,A1,FL,mortgage,57694,0,14.37,6,17,16.0,10,14963,55.94,0,0,0,1,2014,7,1,36.0,0
debtconsolidation,0.0,16683.0,11.73,369,A2,NV,mortgage,51087,1,15.9,10,16,9.0,5,16431,71.03,1,0,0,18,2016,5,1,60.0,0
debtconsolidation,0.0,27565.0,6.7,656,C1,IA,rent,51872,0,21.89,2,9,5.0,3,14805,54.25,0,0,0,0,2015,12,6,48.0,0
debtconsolidation,0.0,25990.0,9.06,827,C3,FL,mortgage,51277,1,19.68,7,7,7.0,4,12219,80.47,0,0,0,1,2016,4,4,36.0,0
debtconsolidation,0.0,24313.0,13.25,655,C3,UT,mortgage,55362,1,24.1,15,13,7.0,4,14153,63.83,1,0,0,1,2014,7,6,48.0,0
debtconsolidation,0.0,23864.0,7.95,483,B2,IA,mortgage,61348,1,16.59,2,18,10.0,8,18073,55.09,0,0,0,5,2014,10,2,60.0,0
debtconsolidation,0.0,20004.0,18.89,597,A1,TX,mortgage,53892,1,10.12,1,12,10.0,7,13676,60.85,1,0,0,0,2016,5,2,48.0,0
debtconsolidation,0.0,23725.0,9.16,756,C2,CA,own,58277,1,7.71,8,20,10.0,6,12622,68.99,0,3,3,0,2014,6,3,36.0,0
debtconsolidation,0.0,14543.0,9.16,464,A3,IL,rent,57510,1,9.47,27,11,8.0,6,15796,46.31,1,0,0,1,2015,6,1,36.0,0
other,0.0,18078.0,14.32,621,E3,AR,own,54124,1,12.9,38,13,13.0,12,15009,70.7,10,0,0,0,2015,10,4,36.0,0
debtconsolidation,0.0,20843.0,8.81,661,C1,CA,rent,57516,1,21.09,6,10,9.0,4,15253,36.32,0,0,0,2,2014,12,4,36.0,0
debtconsolidation,0.0,19292.0,4.73,576,B3,FL,rent,55520,1,12.14,9,7,6.0,5,13389,63.37,0,0,0,0,2015,9,4,36.0,0
debtconsolidation,1.0,24523.0,8.65,505,A2,VA,rent,52332,1,19.36,8,19,10.0,7,12843,81.35,0,0,0,0,2014,8,4,60.0,0
debtconsolidation,0.0,16621.0,6.65,326,A1,MA,rent,56232,1,13.37,15,15,11.0,4,17583,59.82,0,0,0,0,2015,1,4,60.0,0
debtconsolidation,0.0,15162.0,13.38,348,C1,RI,rent,59434,1,24.54,40,18,15.0,8,9924,42.22,0,0,0,1,2015,9,5,60.0,0
debtconsolidation,0.0,24929.0,18.08,634,D2,FL,mortgage,56992,1,20.39,6,8,6.0,4,12945,61.02,0,9,6,2,2016,4,6,60.0,1
debtconsolidation,0.0,15412.0,10.89,504,A1,CO,own,54186,1,13.58,4,23,19.0,8,17334,58.6,0,0,0,1,2016,6,5,36.0,0
debtconsolidation,0.0,24531.0,11.94,814,E2,SD,mortgage,55098,0,20.33,1,18,10.0,8,14982,65.73,0,0,0,1,2014,8,5,36.0,0
debtconsolidation,0.0,21654.0,13.9,739,B2,NE,mortgage,49950,1,13.48,15,16,11.0,4,13254,87.26,0,10,7,0,2015,5,1,36.0,0
debtconsolidation,0.0,21741.0,8.53,536,D1,CO,rent,54668,1,21.21,5,18,13.0,12,16172,55.23,0,0,0,0,2015,5,0,48.0,0
homeimprovement,0.0,17710.0,8.08,556,B1,FL,rent,55707,0,26.06,12,16,16.0,7,15371,59.98,0,0,0,0,2015,10,0,36.0,0
debtconsolidation,0.0,25446.0,13.22,685,B3,CA,own,57609,1,32.6,3,12,10.0,9,19430,85.57,0,0,0,1,2015,1,2,48.0,0
debtconsolidation,0.0,23554.0,12.84,534,C2,MN,own,50808,0,12.56,8,12,12.0,6,15079,28.04,0,0,0,1,2014,11,6,60.0,0
debtconsolidation,0.0,19029.0,13.52,646,A2,IA,own,55183,0,25.7,4,10,5.0,3,15085,77.25,1,0,0,1,2015,7,2,36.0,0
debtconsolidation,0.0,20497.0,10.84,444,A2,FL,rent,56057,1,18.74,5,13,10.0,4,16022,96.35,0,3,3,1,2016,6,4,60.0,0
business,0.0,21614.0,17.49,543,C3,KY,rent,52880,1,19.31,3,19,17.0,8,15855,50.31,0,11,8,0,2015,7,0,60.0,0
homeimprovement,0.0,22610.0,14.28,621,D1,FL,rent,51930,0,13.56,2,16,12.0,6,15212,39.68,0,1,1,0,2014,7,4,48.0,0
debtconsolidation,0.0,22846.0,9.65,481,B1,TX,own,53459,1,12.9,4,12,7.0,3,11724,65.53,15,0,0,0,2016,2,0,60.0,0
debtconsolidation,0.0,19219.0,16.61,474,E1,DE,mortgage,56815,1,28.06,13,14,12.0,8,15601,87.79,0,0,0,0,2014,10,5,60.0,0
debtconsolidation,0.0,20376.0,12.47,541,D1,MS,rent,56369,1,23.11,6,19,17.0,14,14805,65.98,0,0,0,0,2015,11,0,48.0,0
debtconsolidation,0.0,12171.0,12.18,322,B2,RI,mortgage,59040,1,20.13,3,18,9.0,8,13590,77.37,0,0,0,0,2016,5,6,48.0,0
debtconsolidation,0.0,22970.0,14.88,795,A2,AZ,own,58119,1,18.47,4,14,9.0,5,18134,71.3,0,0,0,2,2015,1,3,36.0,0
debtconsolidation,0.0,21815.0,7.13,433,E2,TX,own,57717,0,21.67,4,16,8.0,7,15821,58.81,2,0,0,1,2014,7,6,60.0,0
debtconsolidation,0.0,23058.0,12.22,610,A2,CA,rent,56682,0,27.54,6,16,8.0,6,12273,28.2,5,0,0,0,2015,6,6,48.0,0
debtconsolidation,0.0,17779.0,7.05,426,A1,TN,mortgage,61721,0,13.39,20,17,14.0,9,16703,98.9,2,0,0,3,2014,10,1,48.0,0
business,0.0,17375.0,9.22,363,E2,DE,rent,55730,0,12.04,2,12,8.0,5,14005,63.71,0,0,0,3,2014,7,6,60.0,0
debtconsolidation,1.0,18766.0,8.28,461,B3,TN,rent,57194,1,24.32,1,15,13.0,10,17546,65.16,8,0,0,2,2015,5,6,48.0,0
debtconsolidation,0.0,24698.0,6.41,482,A3,NY,rent,52816,1,19.0,4,17,9.0,5,14347,78.47,0,0,0,2,2015,12,3,60.0,0
debtconsolidation,0.0,24825.0,8.3,507,B1,KS,mortgage,59378,1,14.23,1,10,7.0,3,10307,67.33,0,0,0,8,2015,12,0,60.0,0
debtconsolidation,0.0,12525.0,12.06,279,D3,WV,mortgage,47582,1,17.31,37,6,5.0,3,15434,84.66,0,9,5,0,2016,6,5,60.0,0
other,0.0,22390.0,5.69,523,A1,UT,mortgage,54423,0,18.44,6,18,14.0,8,13886,92.99,9,0,0,14,2016,5,6,48.0,0
debtconsolidation,0.0,17951.0,8.46,442,A1,MI,own,59890,1,20.39,6,14,12.0,11,15095,59.42,0,18,15,2,2014,12,0,48.0,0
debtconsolidation,0.0,21256.0,8.47,524,A2,MT,rent,53043,1,22.79,5,24,22.0,21,17401,84.79,0,0,0,1,2016,1,0,48.0,0
debtconsolidation,0.0,18400.0,11.83,610,B2,NJ,mortgage,59850,1,21.43,10,14,13.0,11,13544,40.9,0,0,0,1,2015,3,2,36.0,0
debtconsolidation,0.0,16663.0,11.76,437,C2,DE,own,52273,1,20.43,5,9,8.0,8,15687,43.99,0,0,0,1,2014,10,2,48.0,0
debtconsolidation,0.0,14171.0,4.77,423,A2,NE,own,56198,1,10.88,2,16,14.0,12,15954,73.63,7,19,11,1,2015,9,1,36.0,0
other,0.0,18322.0,14.19,628,A2,ID,rent,54494,1,20.78,16,13,12.0,5,12968,61.86,0,0,0,15,2014,9,3,36.0,0
debtconsolidation,0.0,24196.0,13.49,557,A2,MA,rent,52291,1,17.49,24,15,11.0,8,16818,45.28,0,0,0,1,2014,7,3,60.0,0
debtconsolidation,0.0,21670.0,8.14,530,B3,AR,mortgage,54819,1,13.25,1,12,9.0,9,17786,84.51,0,0,0,1,2014,9,6,48.0,0
debtconsolidation,0.0,33711.0,10.08,718,B1,CA,rent,52699,1,18.48,3,25,19.0,6,17175,70.45,0,0,0,2,2016,5,6,60.0,0
